Year,Quarter,Class,Title,Instructor,Students,AverageGPA,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2010,Fall,ACCTG 225,Managerial Acctg,"Adams, Helen D.",178,2.9,5,51,15,29,45,7,12,2,2,2,1,2,5
2010,Fall,ARCHY 101,Exploring Archy,"Johnson, Jack A",221,3.1,35,76,37,19,13,13,8,8,1,1,1,6,3
2010,Fall,ART H 201,Surv West Art-Anc,"Laird, Margaret L",255,2.9,10,66,37,47,39,19,11,4,1,1,1,8,11
2010,Fall,ART H 233,Native Art Pnw,"Bunn-Marcuse, Katie",139,3,3,49,28,17,16,5,7,1,3,1,1,3,5
2010,Fall,ASTR 101,Astronomy,"Larson, Ana M.",239,3,46,58,28,35,25,9,10,5,3,2,2,8,8
2010,Fall,BIO A 201,Prin Biologcl Anth,"Kushnick, Geoff",144,2.8,13,37,21,13,19,9,9,3,4,4,3,5,4
2010,Fall,BIOC 405,Intro To Biochem,"Hurley, James B",723,2.8,46,104,106,99,154,86,62,36,10,5,3,1,11
2010,Fall,BIOC 440,Biochemistry,"Klevit, Rachel",320,2.9,44,70,37,26,56,21,13,13,10,3,3,7,17
2010,Fall,BIOL 118,Survey Of Physiol,"Petersen, Karen E",389,2.9,27,52,95,85,44,26,14,19,3,7,3,5,9
2010,Fall,BIOL 180,Intro Biology,"Freeman, Scott",678,2.9,59,103,121,130,104,61,35,19,15,6,3,7,15
2010,Fall,BIOL 200,Intro Biol,"Schivell, Amanda",381,2.7,26,65,35,57,61,35,29,32,14,5,2,7,13
2010,Fall,BIOL 350,Foundtns Physiology,"Kennedy, Michael L",126,2.6,8,21,16,15,17,15,13,3,6,1,3,7,1
2010,Fall,BIOL 462,Adv Animal Phys,"Wenderoth, Mary P",102,2.5,7,7,14,14,13,11,8,12,4,2,2,4,4
2010,Fall,CHEM 142,General Chemistry,"Campbell, Charles T",517,2.7,42,124,56,50,54,55,26,31,21,17,5,23,13
2010,Fall,CHEM 142,General Chemistry,"Carroll, Andrea D.",503,2.5,34,46,62,67,96,29,50,37,21,15,9,17,20
2010,Fall,CHEM 142,General Chemistry,"Chilana, Ashvi",375,2.8,23,57,53,52,70,43,33,23,5,5,1,3,7
2010,Fall,CHEM 162,General Chemistry,"Craig, Colleen",287,2.8,7,39,59,43,58,27,22,20,3,2,1,2,4
2010,Fall,CHEM 237,Organic Chemistry,"Boydston, Andrew Jackson",391,2.7,16,64,59,46,67,28,27,54,1,2,5,1,21
2010,Fall,COM 201,Intro To Comm I,"Domke, David S.",425,2.8,10,70,89,85,89,29,18,20,6,1,1,4,3
2010,Fall,CSE 142,Computer Prgrmng I,"Stepp, Martin",294,2.7,29,56,35,35,42,21,13,9,5,1,2,23,23
2010,Fall,CSE 142,Computer Prgrmng I,"Stepp, Martin",320,2.7,29,71,35,29,41,25,12,12,5,5,2,25,29
2010,Fall,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",247,2.6,20,49,29,32,24,23,13,9,3,6,6,19,14
2010,Fall,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",486,3,38,71,108,110,71,25,16,5,6,3,5,8,20
2010,Fall,ECON 200,Intro Microecon,"Ellis, Gregory M.",392,3.1,33,126,76,61,39,13,7,14,2,3,1,12,5
2010,Fall,ENVIR 100,Environmntl Foundatn,"Bauman, Yoram K",189,2.9,13,37,31,37,34,9,8,1,7,1,2,3,6
2010,Fall,ESRM 100,Environmental Sci,"Harrison, Robert B",156,3.3,68,24,12,13,13,2,6,6,1,5,1,1,4
2010,Fall,ESS 102,Space&Space Travel,"Prager, James R.",177,2.8,22,46,20,21,19,10,9,5,5,3,1,11,5
2010,Fall,GENOME 371,Intro Genetics,"Raghuraman, M. K.",188,2.7,20,27,26,16,26,15,15,13,4,4,4,7,11
2010,Fall,HSTAA 101,Surv Hist Of U S,"Rorabaugh, William J",143,3,8,35,24,25,30,2,5,4,2,1,1,2,4
2010,Fall,LING 100,Fund Of Grammar,"Zagona, Karen",186,3.1,30,55,17,28,22,7,8,2,4,3,1,5,4
2010,Fall,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",220,2.9,42,52,31,14,22,17,10,10,4,3,3,8,4
2010,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",191,2.8,32,39,15,19,23,15,12,11,5,7,2,6,5
2010,Fall,MATH 111,Algebra With Appl,"Taggart, Jennifer",194,3.1,47,45,21,24,17,6,12,10,4,2,1,2,3
2010,Fall,MATH 120,Precalculus,"Loveless, Andrew",191,2.8,19,45,17,26,42,2,6,11,2,5,3,8,5
2010,Fall,MATH 120,Precalculus,"Conroy, Matthew",182,2.5,17,30,22,22,22,2,9,12,7,6,5,17,11
2010,Fall,MATH 120,Precalculus,"Conroy, Matthew",144,2.6,14,29,20,14,25,1,5,8,7,2,2,13,4
2010,Fall,MATH 124,Calc Analyt Geom I,"Taggart, Jennifer",88,2.6,8,9,11,8,18,6,8,4,6,1,3,1,5
2010,Fall,MATH 126,Calc Anyl Geom Iii,"Conroy, Matthew",193,2.8,16,35,30,33,23,12,11,6,6,6,3,6,6
2010,Fall,MATH 126,Calc Anyl Geom Iii,"Duchamp, Thomas E",196,2.8,17,33,31,32,27,8,15,8,3,6,2,4,10
2010,Fall,MATH 307,Intro To Diff Eq,"Sylvester, John",47,2.7,7,4,5,7,9,2,4,1,2,1,2,1,2
2010,Fall,MGMT 200,Introduction To Law,"Bergstrom, Tod",181,3,26,38,25,24,27,16,11,1,1,3,3,1,5
2010,Fall,MICROM 301,Gen Microbiology,"Mougous, Joseph D",207,2.5,20,22,18,20,25,30,18,12,9,10,3,10,10
2010,Fall,MICROM 410,Fund Of Gen Micro I,"Parsek, Matthew R",196,2.4,27,17,12,17,30,20,18,15,8,10,4,16,2
2010,Fall,MUSIC 116,Elem Music Theory,"Kappy, David L",178,2.3,30,24,20,9,14,7,2,3,6,10,5,31,17
2010,Fall,PHIL 100,Intro To Philosophy,"Baker, Ann",167,2.8,25,26,20,22,19,12,11,10,5,1,4,6,6
2010,Fall,PHIL 242,Medical Ethics,"Goering, Sara L.",180,2.9,7,51,24,33,27,7,6,6,2,4,1,2,10
2010,Fall,PHYS 114,General Physics,"Van Dyck, Robert S. Jr.",183,2.8,23,31,28,20,22,11,8,10,2,6,2,5,15
2010,Fall,PSYCH 101,Intro To Psych,"Passer, Michael W",275,3.1,88,36,39,19,32,24,10,9,6,3,1,6,2
2010,Fall,PSYCH 101,Intro To Psych,"King, Kevin M",260,3.2,68,61,35,27,25,16,8,10,4,1,1,2,2
2010,Fall,PSYCH 101,Intro To Psych,"Mcdermott, Lois J.",236,3.2,58,63,37,21,19,8,8,5,4,2,1,1,9
2010,Fall,PSYCH 101,Intro To Psych,"Passer, Michael W",154,3.2,58,17,22,16,11,11,3,6,5,2,1,1,1
2010,Fall,SOC 110,Survey Sociology,"Pitchford, Susan",177,3,27,40,31,22,22,13,6,2,1,3,2,5,3
2010,Fall,SOC 212,Comp Social Change,"Eger, Maureen A.",179,2.8,14,24,26,34,26,16,17,5,6,2,2,2,5
2010,Fall,SOC 287,Soc Of Sexuality,"Schwartz, Pepper J",477,2.8,20,108,103,59,47,34,33,26,10,8,6,17,6
2010,Fall,SOC 292,Public Schl In Amer,"Wollschleger, Jason",199,2.9,25,46,29,31,22,13,14,5,3,3,1,6,1
2010,Fall,SOC 300,Found Soc Inquiry,"Pettit, Elizabeth M.",187,3.3,97,21,13,19,7,7,3,4,2,2,2,9,1
2010,Fall,SOC 316,Sociological Theory,"Kiser, Edgar",114,2.5,10,27,10,9,15,7,8,5,2,5,4,10,2
2010,Fall,SOC 351,Intimate Relatnshps,"Schwartz, Pepper J",144,2.1,6,10,10,8,10,18,23,20,15,9,4,6,5
2010,Fall,SOC 372,Intro Crim Justice,"Wender, Jonathan M",163,3.1,14,33,35,34,27,4,3,1,3,1,1,1,6
2010,Fall,STAT 220,Basic Statistics,"Dougherty, Dawn",176,3,21,47,25,22,24,8,11,5,2,1,1,6,3
2010,Winter,ACCTG 225,Managerial Acctg,"Adams, Helen D.",166,2.9,6,19,48,37,14,10,8,6,2,1,2,2,11
2010,Winter,ARCH 151,Apprec Of Arch Ii,"Borys, Annmarie",319,3.5,156,79,29,14,12,7,8,2,3,1,3,1,4
2010,Winter,ARCHY 205,Principles Of Archy,"Johnson, Jack A",149,3,14,54,26,15,11,5,2,4,2,1,1,9,5
2010,Winter,ART H 202,West Art Med & Ren,"Lingo, Stuart P",335,3,38,105,79,21,18,15,12,9,6,3,5,16,8
2010,Winter,ASTR 150,The Planets,"Sullivan, Woodruff T Iii",242,2.7,35,30,25,42,34,21,17,10,6,2,10,5,5
2010,Winter,BIOC 441,Biochemistry,"Young, Elton T",248,2.9,19,37,51,49,39,20,9,11,4,2,4,1,2
2010,Winter,BIOL 118,Survey Of Physiol,"Bilgen, Tolga",323,2.5,22,39,31,42,58,22,29,20,13,3,11,19,14
2010,Winter,BIOL 180,Intro Biology,"Naish, Kerry",618,2.7,43,96,83,83,113,72,30,28,20,8,4,12,26
2010,Winter,BIOL 200,Intro Biol,"Ruohola-Baker, Hannele",430,2.9,36,75,70,64,76,42,29,22,7,2,2,1,4
2010,Winter,BIOL 350,Foundtns Physiology,"Wenderoth, Mary P",114,2.7,4,13,16,18,20,12,12,4,1,1,1,3,9
2010,Winter,BIOL 409,Sociobiology,"Wasser, Samuel K",103,2.8,14,13,20,11,8,9,6,7,5,3,3,1,3
2010,Winter,CHEM 142,General Chemistry,"Carroll, Andrea D.",556,2.6,32,76,55,64,96,49,39,45,16,19,5,22,38
2010,Winter,CHEM 142,General Chemistry,"Chilana, Ashvi",280,2.7,14,39,31,42,54,30,22,19,8,4,1,5,11
2010,Winter,CHEM 152,General Chemistry,"Chiu, Daniel T.",545,2.7,9,53,76,105,144,61,49,14,8,2,3,5,16
2010,Winter,CHEM 152,General Chemistry,"Miller, Leah M.",510,2.6,32,43,59,71,95,94,58,24,6,4,1,6,17
2010,Winter,CHEM 162,General Chemistry,"Craig, Colleen",118,2.7,6,21,14,15,23,6,10,9,4,3,2,1,4
2010,Winter,CHEM 220,Principles Chem Ii,"Sasaki, Tomikazu",313,2.7,19,43,40,56,52,28,28,25,3,11,1,5,2
2010,Winter,CHEM 237,Organic Chemistry,"Michael, Forrest",286,2.7,19,31,31,52,50,27,18,20,10,5,3,4,16
2010,Winter,CHEM 238,Organic Chemistry,"Maly, Dustin James",386,2.8,56,45,57,47,54,32,20,44,6,9,1,6,9
2010,Winter,CHEM 456,Physical Chemistry,"Robinson, Bruce H",92,2.9,8,20,11,22,9,6,4,2,2,1,1,3,3
2010,Winter,CLAS 430,Grk & Rom Mythology,"Kamen, Deborah E.",186,3.4,73,60,19,3,5,4,2,3,5,1,1,3,7
2010,Winter,COM 201,Intro To Comm I,"Beam, Randal A",406,2.9,47,82,72,58,59,32,17,16,4,6,6,3,4
2010,Winter,COM 300,Concepts New Media,"Foot, Kirsten A.",86,2.5,6,11,11,10,13,9,3,10,2,3,1,5,2
2010,Winter,CSE 142,Computer Prgrmng I,"Reges, Stuart",257,2.6,25,56,32,27,25,17,17,11,11,4,6,21,5
2010,Winter,CSE 142,Computer Prgrmng I,"Reges, Stuart",252,2.8,20,59,52,26,21,12,20,2,7,5,9,7,12
2010,Winter,CSE 143,Computer Prgrmng Ii,"Stepp, Martin",408,2.8,37,98,53,52,50,31,15,11,11,12,3,13,22
2010,Winter,ECON 200,Intro Microecon,"Ellis, Gregory M.",485,3,31,138,85,83,59,18,12,11,9,3,7,7,22
2010,Winter,ENVIR 100,Environmntl Foundatn,"Bauman, Yoram K",214,2.7,7,29,42,41,33,23,9,8,6,3,3,8,2
2010,Winter,ESS 106,Living With Volcano,"Brand, Brittany D",184,3.1,28,58,22,14,15,6,8,5,3,1,1,7,16
2010,Winter,GENOME 361,Fund Gen & Genomics,"Akey, Joshua M",187,2.7,17,30,16,27,27,20,21,10,7,5,1,4,2
2010,Winter,GEOG 280,Geog And Health,"Mayer, Jonathan D",250,2.8,12,36,54,35,45,25,13,14,3,6,2,3,2
2010,Winter,JAPAN 322,Japan Lit Ii,"Mack, Edward T",54,2.9,5,10,9,12,3,6,2,1,2,1,1,1,1
2010,Winter,LING 200,Intro Ling Thought,"Wright, Richard A.",228,2.6,14,35,31,24,32,25,9,21,8,4,2,13,10
2010,Winter,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",45,2.2,7,4,2,6,2,2,4,7,1,1,3,5,1
2010,Winter,MATH 111,Algebra With Appl,"Nichifor, Alexandra",147,3.2,45,28,23,17,9,6,2,5,2,2,2,1,5
2010,Winter,MATH 112,Business &Econ Calc,"Taggart, Jennifer",155,2.9,28,31,24,15,24,6,4,2,5,8,5,1,2
2010,Winter,MATH 112,Business &Econ Calc,"Taggart, Jennifer",130,2.9,23,24,14,13,21,9,5,7,5,3,2,2,2
2010,Winter,MATH 120,Precalculus,"Conroy, Matthew",144,2.5,11,14,25,17,15,6,16,5,8,3,3,7,14
2010,Winter,MATH 120,Precalculus,"Conroy, Matthew",139,2.6,10,23,21,13,23,3,4,7,3,5,2,9,16
2010,Winter,MATH 124,Calc Analyt Geom I,"Pezzoli, Elena",89,2.8,9,14,11,11,19,4,8,3,2,2,3,1,2
2010,Winter,MATH 125,Calc Analyt Geom Ii,"Loveless, Andrew",87,2.8,15,13,7,17,13,4,3,5,3,1,2,2,2
2010,Winter,MATH 125,Calc Analyt Geom Ii,"Conroy, Matthew",85,2.7,11,22,8,6,7,6,9,3,4,2,2,4,1
2010,Winter,MATH 390,Prob Stat Eng Sci,"Marzban, Caren",51,2.5,4,4,6,6,9,6,5,4,1,1,2,2,1
2010,Winter,MICROM 301,Gen Microbiology,"Anderson, Denise G",185,2.4,16,17,15,19,30,15,15,12,11,7,2,9,17
2010,Winter,MICROM 431,Recomb Dna Tech,"Chandler, Mark S",87,2.5,5,13,15,8,9,10,4,8,3,3,1,5,3
2010,Winter,MUSIC 116,Elem Music Theory,"Saks, Toby",186,3.4,101,29,18,4,5,5,4,4,1,1,1,5,8
2010,Winter,MUSIC 116,Elem Music Theory,"Kappy, David L",184,2.7,30,30,30,17,5,14,10,7,3,5,1,17,15
2010,Winter,PHIL 120,Intro To Logic,"Dumas, Bob Alan",120,2.8,19,16,19,12,13,9,11,2,2,2,4,2,9
2010,Winter,PHYS 114,General Physics,"Cramer, John G",205,3.2,58,32,32,24,10,16,10,2,5,3,1,1,11
2010,Winter,POL S 203,Intro Internatl Rel,"Caporaso, James A",234,3.1,22,89,41,27,18,9,11,5,3,1,1,4,3
2010,Winter,PSYCH 101,Intro To Psych,"Prat, Chantel",431,3.1,161,71,40,24,46,17,20,23,3,11,4,9,2
2010,Winter,PSYCH 101,Intro To Psych,"Mclaughlin, Judith L.",97,2.6,16,8,13,11,8,10,6,6,6,3,2,4,4
2010,Winter,PSYCH 209,Fdmntls Psych Rsch,"Passer, Michael W",200,3.1,38,50,30,21,21,10,7,5,2,2,2,3,9
2010,Winter,SOC 212,Comp Social Change,"Eger, Maureen A.",180,2.6,14,19,28,21,35,21,12,12,4,3,1,6,4
2010,Winter,SOC 300,Found Soc Inquiry,"Tolnay, Stewart",198,3.4,92,17,23,29,11,9,6,1,1,2,1,2,4
2010,Winter,SOC 316,Sociological Theory,"Kiser, Edgar",159,2.7,27,29,14,19,11,10,15,7,1,7,3,12,4
2010,Winter,SOC 364,Women In Soc Struc,"Leupp, Katrina M.",74,2.4,4,5,13,10,11,6,6,1,4,2,2,7,3
2010,Winter,SOC 371,Criminology,"Crutchfield, Robert D",195,3,8,52,54,39,16,6,2,5,3,1,2,3,4
2010,Winter,STAT 390,Prob Stat Eng Sci,"Marzban, Caren",63,2.6,7,7,9,7,10,4,5,2,4,2,1,2,3
2010,Spring,AES 151,Int Amer Eth Groups,"Bonus, Enrique C.",195,2.9,41,44,19,17,18,14,10,8,5,8,4,4,3
2010,Spring,AMATH 352,Linr Alg & Num Anly,"Cain, Nicholas H.",104,2.9,8,26,18,15,13,2,4,2,3,2,3,1,7
2010,Spring,ARCH 150,Apprec Of Arch I,"Huppert, Ann C",406,3.4,164,109,39,19,22,12,10,3,2,2,1,8,15
2010,Spring,ART H 203,Surv West Art-Mod,"Wieczorek, Marek K.",324,2.8,47,55,55,47,38,14,7,7,5,11,5,21,12
2010,Spring,ART H 309,Topics In Art Hist,"Garvey, Dana",33,2.9,10,1,8,2,1,2,1,2,1,1,1,1,2
2010,Spring,ATM S 111,Global Warming,"Wallace, John M",157,2.8,13,29,30,21,16,12,6,13,4,2,5,4,2
2010,Spring,B STR 301,General Anatomy,"Pittack, Catrin",433,3,67,127,55,45,45,25,18,19,11,6,1,8,6
2010,Spring,BIOL 118,Survey Of Physiol,"Bilgen, Tolga",405,2.5,31,50,49,50,55,43,32,33,13,14,11,20,4
2010,Spring,BIOL 180,Intro Biology,"Di Stilio, Veronica",422,2.6,29,63,57,48,63,32,33,30,19,8,4,17,19
2010,Spring,BIOL 200,Intro Biol,"Cooper, Mark S",432,2.7,33,41,60,71,72,54,45,29,12,5,2,2,6
2010,Spring,BIOL 317,Plant Class & Ident,"Olmstead, Richard G.",103,2.7,13,15,8,14,13,8,5,8,3,4,2,3,7
2010,Spring,BIOL 354,Evol And Systematics,"Bergstrom, Carl T",113,2.8,10,25,27,14,10,4,4,4,1,2,1,9,2
2010,Spring,BIOL 355,Fndation Mol Cel Bio,"Parrish, Jay Z",120,2.9,15,29,17,15,13,6,5,9,1,4,3,1,2
2010,Spring,BIOL 454,Entomology,"Sugden, Evan A.",78,2.9,20,15,3,11,7,5,3,5,1,2,1,3,2
2010,Spring,CHEM 142,General Chemistry,"Miller, Leah M.",275,2.6,18,20,31,30,70,33,24,21,3,4,2,9,10
2010,Spring,CHEM 152,General Chemistry,"Craig, Colleen",547,2.6,19,58,70,81,129,58,58,27,21,6,1,11,8
2010,Spring,CHEM 162,General Chemistry,"Carroll, Andrea D.",398,2.6,19,55,54,41,79,36,32,40,11,7,4,13,7
2010,Spring,CHEM 221,Principles Chem Iii,"Finney, Eric E",213,2.5,7,22,17,38,49,21,16,21,9,6,3,2,2
2010,Spring,CHEM 242,Organic Chem Lab,"Clary, Scott T.",427,2.9,52,81,74,55,65,35,23,20,10,3,2,5,2
2010,Spring,COM 202,Intro To Comm Ii,"Coutu, Lisa",418,2.9,64,71,58,59,62,32,25,12,13,4,3,10,5
2010,Spring,COM 238,Rhetoric & Pop Cltr,"Harold, Christine",83,2.9,11,22,13,10,9,2,2,3,3,3,1,3,1
2010,Spring,CSE 142,Computer Prgrmng I,"Limketkai, Benson N",207,2.7,22,54,23,21,20,9,11,6,8,4,2,19,8
2010,Spring,CSE 142,Computer Prgrmng I,"Limketkai, Benson N",221,2.7,21,51,20,32,18,17,19,5,6,5,2,16,9
2010,Spring,CSE 143,Computer Prgrmng Ii,"Reges, Stuart",316,2.7,23,70,31,33,43,15,15,18,7,4,5,20,32
2010,Spring,CSE 190,Current Topics Cse,"Stepp, Martin",297,3,31,97,46,42,25,19,3,7,4,3,2,9,9
2010,Spring,CSE 373,Data Struc/Algorith,"Miller, Jessica K.",82,2.9,8,13,14,10,10,6,4,3,1,1,1,2,9
2010,Spring,ECON 200,Intro Microecon,"Salehi-Esfahani, Haideh",403,2.9,31,64,53,89,72,26,12,10,3,2,4,12,25
2010,Spring,ECON 201,Intro Macroecon,"Salehi-Esfahani, Haideh",363,3.1,52,86,55,75,33,23,10,9,7,2,1,2,8
2010,Spring,ESRM 100,Environmental Sci,"Harrison, Robert B",389,3.3,137,108,34,29,25,18,12,4,2,6,1,6,7
2010,Spring,ESS 102,Space&Space Travel,"Prager, James R.",156,2.8,18,34,24,14,16,16,12,2,1,3,2,7,7
2010,Spring,GENOME 361,Fund Gen & Genomics,"Dunham, Maitreya J",196,2.7,18,24,23,26,40,19,21,13,7,2,1,1,1
2010,Spring,LING 200,Intro Ling Thought,"Mcgarrity, Laura W",221,2.6,31,28,29,24,20,23,8,12,5,8,7,17,9
2010,Spring,MATH 112,Business &Econ Calc,"Nichifor, Alexandra",194,3.1,58,39,21,20,12,10,4,5,7,5,6,1,6
2010,Spring,MATH 125,Calc Analyt Geom Ii,"Bekyel, Ebru",85,2.8,12,14,12,11,14,3,7,3,3,1,2,2,1
2010,Spring,MATH 126,Calc Anyl Geom Iii,"Loveless, Andrew",155,2.8,17,20,11,31,33,12,10,6,3,1,3,3,5
2010,Spring,MATH 126,Calc Anyl Geom Iii,"Conroy, Matthew",153,2.7,33,24,13,16,14,7,11,6,9,4,2,12,2
2010,Spring,MATH 126,Calc Anyl Geom Iii,"Taggart, Jennifer",155,2.9,25,25,14,23,25,15,12,4,3,2,1,1,5
2010,Spring,MATH 300,Math Reasoning,"Taggart, Jennifer",30,2.5,4,4,1,3,4,2,1,2,1,1,1,2,4
2010,Spring,MICROM 301,Gen Microbiology,"Anderson, Denise G",222,2.7,19,28,29,28,37,27,18,8,6,5,1,5,11
2010,Spring,MICROM 445,Medical Virology,"Lagunoff, Michael",172,2.7,20,30,18,22,25,14,12,13,1,5,1,7,4
2010,Spring,MUSIC 116,Elem Music Theory,"Kappy, David L",179,2.8,25,44,28,18,10,6,6,6,4,8,1,11,12
2010,Spring,MUSIC 162,Amer Pop Song,"Dudley, Shannon K.",596,3.3,252,98,72,46,50,17,20,9,7,4,4,4,13
2010,Spring,OPMGT 301,Prin Oper Mgt,"Pilcher, Martha",76,2.9,18,10,16,5,6,4,2,5,2,2,1,3,2
2010,Spring,PHIL 100,Intro To Philosophy,"Goodnick, Elizabeth E",130,3,26,14,18,17,19,11,6,3,3,2,1,2,8
2010,Spring,PHIL 102,Contemp Moral Probs,"Blake, Michael I.",140,2.8,13,22,25,16,28,10,10,8,1,1,2,2,2
2010,Spring,POL S 321,Amer Foreign Policy,"Prakash, Aseem",176,3.2,19,70,43,13,17,3,4,1,1,1,1,2,1
2010,Spring,POL S 361,Us Cts & Civil Lib,"Lovell, George I",108,2.9,18,28,12,10,10,1,4,6,2,3,1,7,6
2010,Spring,PSYCH 101,Intro To Psych,"Osterhout, Lee",424,3.1,115,66,82,37,37,26,14,13,8,2,1,12,11
2010,Spring,PSYCH 101,Intro To Psych,"Passer, Michael W",405,2.9,86,63,57,40,49,22,17,21,15,8,4,17,6
2010,Spring,PSYCH 101,Intro To Psych,"Mclaughlin, Judith L.",105,2.7,17,16,20,2,11,9,8,10,5,1,3,2,1
2010,Spring,PSYCH 200,Comp Anim Behav,"Barash, David P",183,3.1,24,54,26,27,20,7,7,4,4,4,1,1,4
2010,Spring,PSYCH 202,Biopsych,"Voorhies, Ann C",280,2.8,56,39,36,29,35,18,16,18,5,5,4,9,10
2010,Spring,PSYCH 210,Human Sexuality,"Mcdermott, Lois J.",461,3.2,118,102,57,60,40,35,20,14,2,2,1,4,6
2010,Spring,RELIG 220,Intro New Testament,"Williams, Michael A",135,3,5,44,23,16,16,5,5,4,5,2,1,2,7
2010,Spring,SIS 201,Making Of 21st Cent,"Migdal, Joel S",196,3,8,52,54,27,15,9,2,2,1,1,3,6,16
2010,Spring,SOC 270,Social Problems,"Harris, Alexes",235,2.9,16,45,46,44,38,17,6,5,1,1,2,6,8
2010,Spring,SOC 300,Found Soc Inquiry,"Brines, Julie E",142,2.9,12,31,27,23,24,4,6,5,1,2,1,4,2
2010,Spring,SOC 345,Sects And Violence,"Wollschleger, Jason",215,3,27,60,32,32,22,16,5,8,6,1,1,4,1
2010,Spring,SOC 371,Criminology,"Matsueda, Ross L.",111,2.8,14,32,10,8,17,4,7,7,2,3,1,5,1
2010,Summer,BIOL 180,Intro Biology,"Oyarzun, Fernanda X.",173,2.7,10,19,25,23,26,18,9,10,4,2,1,4,22
2010,Summer,CHEM 142,General Chemistry,"Pederson, Kari J.",87,2.5,6,10,8,18,9,9,4,3,2,3,1,7,7
2010,Summer,CHEM 237,Organic Chemistry,"Clary, Scott T.",107,2.8,10,18,17,10,17,9,7,6,2,1,1,1,8
2010,Summer,CHEM 239,Organic Chemistry,"Sasaki, Tomikazu",142,2.5,7,14,17,19,28,11,12,13,8,3,3,3,4
2010,Summer,CSE 142,Computer Prgrmng I,"Wortzman, Brett G B",139,2.6,19,24,11,13,21,4,12,3,7,2,2,11,10
2010,Summer,MICROM 301,Gen Microbiology,"Anderson, Denise G",118,2.7,10,19,15,17,18,9,7,7,4,2,2,3,5
2011,Fall,AFRAM 101,Intro Af-Am Studies,"Retman, Sonnet H.",92,2.9,16,16,18,10,13,2,6,2,3,2,1,2,1
2011,Fall,ANTH 101,Exploring Soc Anthr,"Perez, Michael V",166,3.1,53,29,11,18,15,12,4,5,5,1,4,5,4
2011,Fall,ATM S 101,Weather,"Mass, Clifford F",127,3,26,21,21,22,13,8,5,1,4,1,2,2,1
2011,Fall,B H 401,History Of Medicine,"Berryman, Jack W",52,2.7,4,12,9,6,4,3,2,1,1,3,1,3,3
2011,Fall,BIO A 201,Prin Biologcl Anth,"Kushnick, Geoff",158,2.9,16,43,20,24,14,11,9,7,2,2,2,4,4
2011,Fall,BIOC 440,Biochemistry,"Klevit, Rachel",322,2.8,46,80,39,26,37,20,6,17,11,9,5,13,13
2011,Fall,BIOL 118,Survey Of Physiol,"Petersen, Karen E",383,2.9,40,71,82,72,31,21,12,17,9,5,4,8,11
2011,Fall,BIOL 180,Intro Biology,"Freeman, Scott",687,2.9,53,108,105,115,127,64,47,33,10,3,1,4,17
2011,Fall,BIOL 200,Intro Biol,"Schivell, Amanda",381,2.7,31,49,72,41,64,36,34,14,12,8,5,8,7
2011,Fall,BIOL 350,Foundtns Physiology,"Kennedy, Michael L",129,2.8,8,30,16,17,19,17,7,4,1,1,1,4,4
2011,Fall,BIOL 404,Animal Cell Physiol,"De La Iglesia, Horacio O.",117,2.4,12,8,13,11,15,8,7,7,6,3,6,7,14
